 megaCity/Sec,NUMCAPITALS,,,,,,,,,,
NUMT,2,3,4,5,10,15,20,30,40,50,
1,16.877,20.504,24.178,22.81,31.869,34.385,35.056,39.465,39.828,44.047,
2,11.633,17.664,9.681,11.74,41.959,48.493,51.579,49.265,72.223,75.888,
4,7.05,4.618,6.558,7.616,16.586,25.585,35.567,63.578,79.289,94.983,
6,5.052,3.328,5.848,6.4,13.869,19.508,29.532,47.18,62.313,81.6,
8,3.514,4.027,5.027,6.24,11.897,21.369,25.082,40.196,47.232,63.996,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,2,3,4,5,10,15,20,30,40,50
,1,16.877,20.504,24.178,22.81,31.869,34.385,35.056,39.465,39.828,44.047
,2,11.633,17.664,9.681,11.74,41.959,48.493,51.579,49.265,72.223,75.888
,4,7.05,4.618,6.558,7.616,16.586,25.585,35.567,63.578,79.289,94.983
,6,5.052,3.328,5.848,6.4,13.869,19.508,29.532,47.18,62.313,81.6
,8,3.514,4.027,5.027,6.24,11.897,21.369,25.082,40.196,47.232,63.996
