ArraySize,NonSIMD_Mult,SIMD_Mult,Speedup_Mult,NonSIMD_MultSum,SIMD_MultSum,Speedup_MultSum
1024,123.97,650.98,5.25,131.91,645.66,4.89
2048,124.60,667.98,5.36,143.56,720.62,5.02
4096,132.80,720.11,5.42,143.87,729.87,5.07
8192,144.64,781.31,5.40,166.00,843.23,5.08
16384,164.38,801.68,4.88,188.33,961.28,5.10
32768,195.56,1050.69,5.37,221.56,1185.10,5.35
65536,236.27,1309.80,5.54,354.49,1805.70,5.09
131072,328.46,1677.87,5.11,354.57,1014.72,2.86
262144,308.54,1673.06,5.42,343.30,990.98,2.89
524288,323.51,1595.55,4.93,352.05,1758.91,5.00
1048576,286.84,1518.39,5.29,351.74,1682.19,4.78
2097152,298.16,942.21,3.16,329.42,1705.55,5.18
4194304,304.55,904.51,2.97,339.44,1604.25,4.73
8388608,301.68,908.32,3.01,338.04,1627.58,4.81
