Sum of MegaTrials/Second,BLOCKSIZE,,,,,
NUMTRAILS,8,32,64,128,256,
1024,8.3182,9.6241,12.4708,8.1695,8.8938,
4096,32.6281,48.7991,45.4062,48.1022,40.0877,
16384,175.2225,172.3325,170.326,198.2191,202.692,
65536,470.5882,679.2703,478.3929,647.2819,698.2612,
262144,842.9718,1420.4959,1969.2308,2043.9123,2140.5801,
1048576,1037.356,3045.3532,3898.6318,4388.3756,4420.3427,
2097152,1071.6377,3378.4926,3971.1566,5224.49,5165.1956,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,8,32,64,128,256
,1024,8.3182,9.6241,12.4708,8.1695,8.8938
,4096,32.6281,48.7991,45.4062,48.1022,40.0877
,16384,175.2225,172.3325,170.326,198.2191,202.692
,65536,470.5882,679.2703,478.3929,647.2819,698.2612
,262144,842.9718,1420.4959,1969.2308,2043.9123,2140.5801
,1048576,1037.356,3045.3532,3898.6318,4388.3756,4420.3427
,2097152,1071.6377,3378.4926,3971.1566,5224.49,5165.1956
