Sum of Performance ,Column Labels,,,,,
Row Labels,4096,16384,65536,262144,1048576,4194304
8,37.84,231.72,166.93,399.55,1063.51,1968.64
32,38.97,193.14,173.17,400.32,21.96,3489.71
64,39.19,229.52,206.39,396.59,1556.1,4347.62
128,52.03,151.97,215.71,338.16,1516.07,124.69
256,32.01,149.59,152.05,6.27,1253.76,3904.41
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,4096,16384,65536,262144,1048576,4194304
8,37.84,231.72,166.93,399.55,1063.51,1968.64
32,38.97,193.14,173.17,400.32,21.96,3489.71
64,39.19,229.52,206.39,396.59,1556.1,4347.62
128,52.03,151.97,215.71,338.16,1516.07,124.69
256,32.01,149.59,152.05,6.27,1253.76,3904.41
