Sum of MegaTrials/Sec,Column Labels,,,,,
Row Labels,1,2,4,6,8,Grand Total
1,0.6,0.3,0.24,0.25,0.34,1.73
10,4.81,2.99,2.63,2.28,3.56,16.27
100,20.8,21.86,23.38,20.67,37.13,123.84
1000,27.1,35.41,71.55,101.11,122.14,357.31
10000,19.91,35.76,68.03,106.68,150.52,380.9
50000,22.23,42.91,69.57,104.18,198.28,437.17
100000,27.53,48.01,78.96,110.4,213.75,478.65
500000,42.67,78.22,115.04,148.65,199.23,583.81
750000,37.1,83.35,138.38,172.43,208.79,640.05
1000000,42.19,76.89,137.84,149.04,228.88,634.84
1500000,38.34,75.22,142.8,202.12,218.91,677.39
2000000,41.7,82.47,142.16,203.23,274.96,744.52
Grand Total,324.98,583.39,990.58,1321.04,1856.49,5076.48
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,1,2,4,6,8,
1,0.6,0.3,0.24,0.25,0.34,
10,4.81,2.99,2.63,2.28,3.56,
100,20.8,21.86,23.38,20.67,37.13,
1000,27.1,35.41,71.55,101.11,122.14,
10000,19.91,35.76,68.03,106.68,150.52,
50000,22.23,42.91,69.57,104.18,198.28,
100000,27.53,48.01,78.96,110.4,213.75,
500000,42.67,78.22,115.04,148.65,199.23,
750000,37.1,83.35,138.38,172.43,208.79,
1000000,42.19,76.89,137.84,149.04,228.88,
1500000,38.34,75.22,142.8,202.12,218.91,
2000000,41.7,82.47,142.16,203.23,274.96,
